记录测试时间，测试总数，pass数量，失败数量 用‘=’拼接

2017-08-03 12:43:24.910136=2=2=0 
2017-08-03 12:45:16.609525=2=2=0 
2017-08-03 12:47:27.536014=2=2=0 
2017-08-03 12:49:40.110597=2=2=0 
2017-08-03 12:52:38.698811=2=2=0 
2017-08-03 12:53:42.818479=2=2=0 
2017-08-03 12:54:46.685132=2=2=0 
2017-08-03 12:58:24.075566=2=2=0 
2017-08-03 20:06:36.156240=3=3=0 
2017-08-04 10:20:34.328002=3=3=0 
2017-08-04 10:22:24.175002=3=3=0 
2017-08-09 09:37:48.947401=3=3=0 
2017-08-09 09:37:57.638401=3=3=0 
2017-08-09 09:41:08.259401=3=3=0 
2017-08-09 09:49:33.789401=3=3=0 
